avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count
183.0,0.0,-1.0,31.462439523809525,22
149.0,-1.0,0.0,-1.0,1
104.0,-1.0,0.0,-1.0,1
59.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
183.0,-1.0,0.0,-1.0,1
289.0,-1.0,0.0,-1.0,1
76.0,-1.0,0.0,-1.0,1
74.0,-1.0,0.0,-1.0,1
164.0,-1.0,0.0,-1.0,1
208.0,-1.0,0.0,-1.0,1
218.0,-1.0,0.0,-1.0,1
158.0,-1.0,0.0,-1.0,1
140.0,-1.0,-1.0,-1.0,1
140.0,-1.0,-1.0,-1.0,1
20.0,0.0,-1.0,0.8972245000000001,3
20.0,0.0,-1.0,0.8962075000000009,3
443.0,-1.0,-1.0,-1.0,1
443.0,-1.0,-1.0,-1.0,1
220.0,209.65256974337328,0.8333333333333334,0.08320550000000004,11
194.84615384615384,201.30691582500182,0.8571428571428571,0.07521433333333327,13
220.0,209.65256974337328,0.8333333333333334,0.08998329999999992,11
220.9090909090909,208.82837668547566,0.8333333333333334,0.08481459999999999,11
266.0,214.42248016474392,0.75,0.13826050000000004,7
28.0,-1.0,0.0,-1.0,1
449.0,-1.0,0.0,-1.0,1
28.0,-1.0,0.0,-1.0,1
28.0,-1.0,0.0,-1.0,1
28.0,-1.0,0.0,-1.0,1
106.0,-1.0,0.0,-1.0,1
106.0,-1.0,0.0,-1.0,1
28.0,-1.0,0.0,-1.0,1
30.444444444444443,4.2163702135578385,0.8,0.12584424999999988,9
30.444444444444443,4.2163702135578385,0.8,0.14422574999999993,9
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
191.0,-1.0,0.0,-1.0,1
34.2,8.043631020876083,0.6666666666666666,0.1538955000000004,5
34.0,8.215838362577491,0.6666666666666666,0.1708154999999998,5
34.0,8.215838362577491,0.6666666666666666,0.16138424999999978,5
33.0,8.660254037844387,0.5,0.17998400000000014,3
35.4,15.274161188098024,0.6666666666666666,0.0875227500000002,5
64.0,-1.0,0.0,-1.0,1
33.0,8.660254037844387,0.5,0.19359950000000037,3
29.0,-1.0,0.0,-1.0,1
26.333333333333332,7.505553499465135,0.5,9.483072,3
25.0,-1.0,0.0,-1.0,1
84.0,-1.0,0.0,-1.0,1
64.0,-1.0,0.0,-1.0,1
442.78823529411767,22.94719306293881,-1.0,7.1492779761904774,85
77.0,-1.0,0.0,-1.0,1
290.2,222.9365380551156,0.6666666666666666,10.5652915,5
139.0,81.85276415613586,1.4285714285714286,25.1384855625,17
166.0,-1.0,0.0,-1.0,1
143.63636363636363,94.50108224488514,-1.0,58.3429082,11
163.35294117647058,103.29712435580312,-1.0,17.6842943030303,34
397.4,407.3085644406052,0.42857142857142855,0.668748,10
178.0,-1.0,0.0,-1.0,1
318.0,235.57801255635042,0.5,15.555656500000003,3
318.0,235.57801255635042,0.5,15.588899000000001,3
318.0,235.57801255635042,0.5,15.579096999999997,3
194.0,-1.0,0.0,-1.0,1
189.66666666666666,51.3841739578767,0.5,2.9870704999999997,3
28.0,-1.0,0.0,-1.0,1
34.0,10.392304845413264,0.5,15.559986000000002,3
194.0,-1.0,0.0,-1.0,1
189.66666666666666,51.3841739578767,0.5,3.0398809999999994,3
318.0,235.57801255635042,0.5,15.3813555,3
34.0,10.392304845413264,0.5,15.451707500000007,3
126.0,-1.0,0.0,-1.0,1
32.666666666666664,1.1547005383792517,0.5,9.8650505,3
178.0,-1.0,0.0,-1.0,1
139.0,-1.0,0.0,-1.0,1
32.666666666666664,1.1547005383792517,0.5,9.701333,3
26.333333333333332,7.505553499465135,0.5,9.548243500000002,3
87.0,-1.0,0.0,-1.0,1
132.0,-1.0,0.0,-1.0,1
56.0,0.0,0.8333333333333334,50.18999340000002,11
166.0,-1.0,0.0,-1.0,1
258.6666666666667,83.80035799446205,-1.0,70.069922125,9
178.0,-1.0,0.0,-1.0,1
28.0,-1.0,0.0,-1.0,1
28.0,-1.0,0.0,-1.0,1
178.0,-1.0,0.0,-1.0,1
178.0,-1.0,0.0,-1.0,1
449.8888888888889,506.1374429056905,0.125,0.104134375000001,9
194.0,-1.0,0.0,-1.0,1
193.30882352941177,39.054595293263915,1.0,8.843319895522388,68
104.0,0.0,-1.0,0.4198686666666636,4
104.0,0.0,-1.0,0.3356916428571444,15
761.9924090959024,368.665562117643,0.7081763720720763,0.0016262531095603359,364120
124.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
138.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
35.75438596491228,45.47184399704094,0.5833333333333334,2.7466099642857142,57
36.0,0.0,-1.0,346.508286,2
36.0,0.0,-1.0,346.508237,2
106.0,0.0,-1.0,160.50449566666666,4
112.0,-1.0,0.0,-1.0,1
134.0,-1.0,0.0,-1.0,1
170.0,-1.0,0.0,-1.0,1
16.5,13.47219358530748,-1.0,10.094359399999998,6
91.33333333333333,28.867513459481287,0.5,199.62061,3
75.0,-1.0,0.0,-1.0,1
77.0,-1.0,0.0,-1.0,1
133.0,0.0,-1.0,2.40591225,5
72.48648648648648,8.231449250086934,-1.0,14.18811655555556,37
77.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
23.88095238095238,17.05829657374021,0.4482758620689655,4.702823,42
133.0,0.0,-1.0,0.10146300000002384,2
77.0,-1.0,0.0,-1.0,1
69.0,-1.0,0.0,-1.0,1
183.0,-1.0,0.0,-1.0,1
289.0,-1.0,0.0,-1.0,1
133.0,0.0,-1.0,0.101949999999988,2
18.0,17.146428199482248,-1.0,10.038792599999999,6
34.0,-1.0,0.0,-1.0,1
133.0,0.0,-1.0,1.000274692307694,14
77.0,-1.0,0.0,-1.0,1
133.0,0.0,-1.0,3.379276333333337,4
194.0,-1.0,0.0,-1.0,1
160.0,-1.0,0.0,-1.0,1
194.0,-1.0,0.0,-1.0,1
160.0,-1.0,0.0,-1.0,1
73.0,-1.0,0.0,-1.0,1
134.0,-1.0,0.0,-1.0,1
133.0,0.0,-1.0,1.0854467999999997,16
77.0,-1.0,0.0,-1.0,1
133.0,0.0,-1.0,3.3374730740740763,82
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
34.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
23.727272727272727,17.52400950384669,1.2916666666666667,3.7180363888888897,55
77.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
