avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
149.0,-1.0,0.0,-1.0,1,0.08026800000000023
104.0,-1.0,0.0,-1.0,1,0.013220999999999705
59.0,-1.0,0.0,-1.0,1,0.10191699999999981
34.0,-1.0,0.0,-1.0,1,0.10663399999999967
,-1.0,-1.0,-0.0,0,0.0
183.0,-1.0,0.0,-1.0,1,0.016024999999999956
289.0,-1.0,0.0,-1.0,1,0.014516999999999669
76.0,-1.0,0.0,-1.0,1,0.03834499999999963
74.0,-1.0,0.0,-1.0,1,0.014725000000000321
164.0,-1.0,0.0,-1.0,1,0.0881520000000009
208.0,-1.0,0.0,-1.0,1,0.05822700000000047
218.0,-1.0,0.0,-1.0,1,0.02612099999999984
158.0,-1.0,0.0,-1.0,1,0.042132999999999754
140.0,-1.0,-1.0,-1.0,1,9.999999992515995e-07
140.0,-1.0,-1.0,-1.0,1,0.0
20.0,0.0,-1.0,0.7600909999999992,2,0.7600909999999992
,-1.0,-1.0,-0.0,0,0.0
20.0,0.0,-1.0,0.7583310000000001,2,0.7583310000000001
,-1.0,-1.0,-0.0,0,0.0
443.0,-1.0,-1.0,-1.0,1,0.000534999999999286
443.0,-1.0,-1.0,-1.0,1,0.0005389999999998452
220.0,209.65256974337328,0.8333333333333334,0.08320549999999986,11,0.8320549999999987
194.84615384615384,201.30691582500182,0.8571428571428571,0.07521433333333327,13,0.9025719999999993
