avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration
195.0,-1.0,0.0,-1.0,1,0.1449710000000004
158.0,-1.0,0.0,-1.0,1,0.078179
107.0,-1.0,0.0,-1.0,1,0.02672299999999872
57.0,-1.0,0.0,-1.0,1,0.008512000000001407
213.0,-1.0,-1.0,-1.0,1,0.3650909999999996
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
803.0,834.3860018001261,-1.0,0.3650290000000016,2,0.3650290000000016
270.0,-1.0,-1.0,-1.0,1,0.11982900000000996
234.0,43.840620433565945,-1.0,0.18433100000001446,2,0.18433100000001446
692.0,-1.0,-1.0,-1.0,1,0.201924
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
106.0,-1.0,0.0,-1.0,1,0.013222999999999985
75.0,-1.0,0.0,-1.0,1,0.01076699999999775
75.0,-1.0,0.0,-1.0,1,0.013362000000000762
75.0,-1.0,0.0,-1.0,1,0.015146000000001436
75.0,-1.0,0.0,-1.0,1,0.015368999999999744
75.0,-1.0,0.0,-1.0,1,0.017335000000002765
75.0,-1.0,0.0,-1.0,1,0.017337000000001268
75.0,-1.0,0.0,-1.0,1,0.016182000000000585
107.0,-1.0,0.0,-1.0,1,0.02432200000000151
451.0,10.658330075579382,-1.0,0.006778800000000018,6,0.03389400000000009
450.42857142857144,9.846440014156432,-1.0,0.0056490000000006075,7,0.03389400000000364
,-1.0,-1.0,-0.0,0,0.0
118.0,-1.0,0.0,-1.0,1,0.018484999999994756
105.0,-1.0,0.0,-1.0,1,0.011645999999995382
185.0,-1.0,0.0,-1.0,1,0.009069000000003768
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
,-1.0,-1.0,-0.0,0,0.0
108.0,-1.0,0.0,-1.0,1,0.0018139999999817746
96.0,-1.0,0.0,-1.0,1,0.0016990000000021155
114.0,-1.0,0.0,-1.0,1,0.29475300000000004
103.0,-1.0,0.0,-1.0,1,0.016690000000011196
107.0,-1.0,0.0,-1.0,1,0.0065119999999865286
108.0,-1.0,0.0,-1.0,1,0.0070750000000003865
107.0,-1.0,0.0,-1.0,1,0.06128600000000972
