avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len
77.0,-1.0,0.0,-1.0,1,0.03978999999998223,77.0
191.0,-1.0,0.0,-1.0,1,0.014257999999999882,191.0
139.0,-1.0,0.0,-1.0,1,0.04079499999999925,139.0
64.0,-1.0,0.0,-1.0,1,0.013124000000001246,64.0
87.0,-1.0,0.0,-1.0,1,0.03997500000000542,87.0
166.0,-1.0,0.0,-1.0,1,0.024186000000000263,166.0
64.0,-1.0,0.0,-1.0,1,0.022565999999997643,64.0
442.78823529411767,22.947193062938805,-1.0,7.149277976190477,85,600.53935,37637.0
133.0,0.0,-1.0,3.379276333333337,4,10.13782900000001,532.0
28.0,-1.0,0.0,-1.0,1,0.014986000000007493,28.0
32.666666666666664,1.1547005383792517,0.5,9.865050499999999,3,19.730100999999998,98.0
193.30882352941177,39.054595293263915,1.0,8.843319895522388,68,592.502433,13145.0
33.0,8.660254037844387,0.5,0.19359950000000037,3,0.38719900000000074,99.0
,-1.0,-1.0,-0.0,0,0.0,0.0
166.0,-1.0,0.0,-1.0,1,0.026029999999998665,166.0
290.2,222.9365380551156,0.6666666666666666,10.5652915,5,42.261166,1451.0
34.0,10.392304845413264,0.5,15.559986000000002,3,31.119972000000004,102.0
220.9090909090909,208.82837668547566,0.8333333333333334,0.08481459999999999,11,0.8481459999999998,2430.0
34.0,-1.0,0.0,-1.0,1,0.21650800000000103,34.0
,-1.0,-1.0,-0.0,0,0.0,0.0
139.0,81.85276415613586,1.4285714285714286,25.1384855625,17,402.215769,2363.0
449.0,-1.0,0.0,-1.0,1,0.21685100000000013,449.0
77.0,-1.0,0.0,-1.0,1,0.06538399999999989,77.0
26.333333333333332,7.505553499465135,0.5,9.483072,3,18.966144,79.0
133.0,0.0,-1.0,3.3374730740740746,82,270.335319,10906.0
29.0,-1.0,0.0,-1.0,1,0.013127000000000777,29.0
74.0,-1.0,0.0,-1.0,1,0.014725000000000321,74.0
23.727272727272727,17.52400950384669,1.2916666666666667,3.7180363888888897,55,200.77396500000003,1305.0
77.0,-1.0,0.0,-1.0,1,0.036597999999912645,77.0
289.0,-1.0,0.0,-1.0,1,0.014516999999999669,289.0
,-1.0,-1.0,-0.0,0,0.0,0.0
220.0,209.65256974337328,0.8333333333333334,0.08998329999999992,11,0.8998329999999992,2420.0
34.0,-1.0,0.0,-1.0,1,0.09034299999999007,34.0
258.6666666666667,83.80035799446205,-1.0,70.069922125,9,560.559377,2328.0
134.0,-1.0,0.0,-1.0,1,0.039830000000009136,134.0
163.35294117647058,103.29712435580312,-1.0,17.6842943030303,34,583.5817119999999,5554.0
133.0,0.0,-1.0,0.101462999999967,2,0.101462999999967,266.0
28.0,-1.0,0.0,-1.0,1,0.015293999999997254,28.0
34.0,-1.0,0.0,-1.0,1,0.2918730000000096,34.0
34.0,-1.0,0.0,-1.0,1,0.24952000000001817,34.0
,-1.0,-1.0,-0.0,0,0.0,0.0
218.0,-1.0,0.0,-1.0,1,0.02612099999999984,218.0
35.75438596491228,45.47184399704094,0.5833333333333334,2.7466099642857142,57,153.810158,2038.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
34.2,8.043631020876083,0.6666666666666666,0.1538955000000004,5,0.6155820000000016,171.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
34.0,-1.0,0.0,-1.0,1,0.21717900000001578,34.0
,-1.0,-1.0,-0.0,0,0.0,0.0
170.0,-1.0,0.0,-1.0,1,0.15374200000002247,170.0
209.0,-1.0,0.0,-1.0,1,0.021118999999998778,209.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
34.0,-1.0,0.0,-1.0,1,0.08347099999997454,34.0
289.0,-1.0,0.0,-1.0,1,0.012730999999973847,289.0
56.0,0.0,0.8333333333333334,50.189993400000006,11,501.8999340000001,616.0
,-1.0,-1.0,-0.0,0,0.0,0.0
178.0,-1.0,0.0,-1.0,1,0.04664100000000815,178.0
34.0,-1.0,0.0,-1.0,1,0.26813699999999585,34.0
26.333333333333332,7.505553499465135,0.5,9.548243500000002,3,19.096487000000003,79.0
189.66666666666666,51.3841739578767,0.5,3.039881000000001,3,6.079762000000002,569.0
178.0,-1.0,0.0,-1.0,1,0.013645000000000351,178.0
,-1.0,-1.0,-0.0,0,0.0,0.0
111.0,-1.0,0.0,-1.0,1,0.032324000000016895,111.0
104.0,0.0,-1.0,0.4198686666666636,4,1.259605999999991,416.0
30.444444444444443,4.2163702135578385,0.8,0.12584424999999988,9,1.006753999999999,274.0
160.0,-1.0,0.0,-1.0,1,0.008461000000011154,160.0
77.0,-1.0,0.0,-1.0,1,0.03587300000000937,77.0
133.0,0.0,-1.0,0.101949999999988,2,0.101949999999988,266.0
183.0,-1.0,0.0,-1.0,1,0.012002000000052249,183.0
,-1.0,-1.0,-0.0,0,0.0,0.0
28.0,-1.0,0.0,-1.0,1,0.0769309999999983,28.0
194.0,-1.0,0.0,-1.0,1,0.008112999999980275,194.0
30.444444444444443,4.2163702135578385,0.8,0.14422574999999993,9,1.1538059999999994,274.0
18.0,17.146428199482248,-1.0,10.038792600000011,6,50.19396300000005,108.0
194.0,-1.0,0.0,-1.0,1,0.006998999999993316,194.0
134.0,-1.0,0.0,-1.0,1,0.04170899999996891,134.0
143.63636363636363,94.50108224488515,-1.0,58.3429082,11,583.429082,1580.0
77.0,-1.0,0.0,-1.0,1,0.04086300000000165,77.0
,-1.0,-1.0,-0.0,0,0.0,0.0
34.0,-1.0,0.0,-1.0,1,0.10663399999999967,34.0
207.0,-1.0,0.0,-1.0,1,0.03450499999996737,207.0
106.0,-1.0,0.0,-1.0,1,0.2167869999999983,106.0
,-1.0,-1.0,-0.0,0,0.0,0.0
104.0,-1.0,0.0,-1.0,1,0.013220999999999705,104.0
443.0,-1.0,-1.0,-1.0,1,0.0005389999999998452,443.0
132.0,-1.0,0.0,-1.0,1,0.05073600000000056,132.0
318.0,235.57801255635042,0.5,15.588899,3,31.177798,954.0
140.0,-1.0,-1.0,-1.0,1,9.999999992515995e-07,140.0
397.4,407.3085644406052,0.42857142857142855,0.6687480000000003,10,6.0187320000000035,3974.0
443.0,-1.0,-1.0,-1.0,1,0.000534999999999286,443.0
427.16931216931215,369.23972177441783,0.8052902277736959,0.005979804560260583,2457,14.686399999999992,1049555.0
689.0289093298292,414.67537007044064,-1.0,0.004789214332675864,1522,7.284394999999989,1048702.0
772.8055964653903,383.98084601796376,-1.0,0.004174612380250558,1358,5.664949000000007,1049470.0
748.6426533523538,396.872649661684,-1.0,0.004053730192719487,1402,5.6792760000000015,1049597.0
710.6531165311653,394.93760965813834,-1.0,0.003840644745762713,1476,5.664951000000002,1048924.0
803.3905053598775,429.6212471131816,-1.0,0.004803550191570888,1306,6.268633000000008,1049228.0
750.6428060128848,404.03329989166366,-1.0,0.004161721346704853,1397,5.809762999999975,1048648.0
752.6506456241033,378.72760381654183,-1.0,0.003980120603015076,1394,5.544308000000001,1049195.0
747.4910905203136,389.0813979932209,-1.0,0.003944252496433658,1403,5.529841999999988,1048730.0
730.7096100278552,384.22675678864647,-1.0,0.003951445993031373,1436,5.67032500000002,1049299.0
752.7559224694903,386.03285941002656,-1.0,0.0039862327586206656,1393,5.548835999999966,1048589.0
747.64005702067,382.84221377509243,-1.0,0.003945004279600559,1403,5.530895999999984,1048939.0
721.2592847317744,359.4090443340422,-1.0,0.003901809359944945,1454,5.669329000000005,1048711.0
733.641958041958,381.12928281450195,-1.0,0.003932417074877543,1430,5.619424000000009,1049108.0
745.3877840909091,398.4728597409966,-1.0,0.004061218194740584,1408,5.714134000000001,1049506.0
745.8741109530583,395.7187979598866,-1.0,0.004014134519572955,1406,5.639859000000001,1048699.0
748.1027104136947,390.27402954441015,-1.0,0.003978321912919351,1402,5.573629000000011,1048840.0
744.9169034090909,394.6044714606385,-1.0,0.004075079601990041,1408,5.733636999999987,1048843.0
713.9829931972789,369.86406953800525,-1.0,0.00398904833219878,1470,5.8599120000000084,1049555.0
733.9958012596221,389.28131725006955,-1.0,0.003935370448179252,1429,5.619708999999972,1048880.0
725.8588235294118,394.1551724892114,-1.0,0.004053972299168978,1445,5.8539360000000045,1048866.0
737.1911454673226,383.24095383702587,-1.0,0.003938659634317863,1423,5.600774000000001,1049023.0
735.6732117812062,382.9889080127976,-1.0,0.003956630175438588,1426,5.6381979999999885,1049070.0
720.235415236788,380.64980070645856,-1.0,0.0038630013736264076,1457,5.62453000000005,1049383.0
726.5844875346261,383.49904763563165,-1.0,0.003845516978516979,1444,5.549081000000001,1049188.0
732.5073272854152,380.68873942102846,-1.0,0.00400176955307265,1433,5.730534000000034,1049683.0
742.5675866949753,398.9559682296122,-1.0,0.004043249999999979,1413,5.709068999999971,1049248.0
743.2790368271955,387.67258250451425,-1.0,0.003975781006378452,1412,5.609826999999996,1049510.0
751.3696275071633,391.9968996953384,-1.0,0.004006916129032266,1396,5.589648000000011,1048912.0
739.646229739253,385.6345698246134,-1.0,0.003966375881523258,1419,5.624320999999981,1049558.0
737.9760731878958,384.33358015603477,-1.0,0.003989283098591531,1421,5.664781999999974,1048664.0
735.0988086895585,385.6590005484763,-1.0,0.0038775308555400114,1427,5.529359000000056,1048986.0
746.968660968661,382.2453345820618,-1.0,0.0038309301496793034,1404,5.374795000000063,1048744.0
712.4802989130435,359.98620661379226,-1.0,0.0037899102651257903,1472,5.574958000000038,1048771.0
706.7569023569024,355.6495170865205,-1.0,0.0037736226415093924,1485,5.600055999999938,1049534.0
