avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len
308.0,-1.0,0.0,-1.0,1,0.009580999999997175,308.0
275.0,-1.0,0.0,-1.0,1,0.27255499999995436,275.0
498.0,-1.0,0.0,-1.0,1,0.006226999999981331,498.0
498.0,-1.0,0.0,-1.0,1,0.005701999999985219,498.0
333.0,-1.0,0.0,-1.0,1,0.0028489999999692373,333.0
246.0,-1.0,0.0,-1.0,1,0.0024420000000304753,246.0
498.0,-1.0,0.0,-1.0,1,0.004414000000000584,498.0
405.0,-1.0,0.0,-1.0,1,0.0023510000000328546,405.0
192.0,173.1790980459247,0.5,163.710516,3,327.421032,576.0
145.0,-1.0,0.0,-1.0,1,0.2225299999999999,145.0
397.0,-1.0,0.0,-1.0,1,0.001745999999968717,397.0
145.0,-1.0,0.0,-1.0,1,0.18056000000001404,145.0
254.0,-1.0,0.0,-1.0,1,0.00292699999999968,254.0
