avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len
35.375,29.716157221282835,-1.0,3.4248701999999906,16,51.37305299999986,566.0
359.0,-1.0,0.0,-1.0,1,0.0024639999999997997,359.0
498.0,-1.0,0.0,-1.0,1,0.059663000000000466,498.0
308.0,0.0,-1.0,41.37849725,9,331.027978,2772.0
246.0,-1.0,0.0,-1.0,1,0.0023700000000417276,246.0
361.0,-1.0,0.0,-1.0,1,0.0028609999999957836,361.0
,-1.0,-1.0,-0.0,0,0.0,0.0
151.0,-1.0,0.0,-1.0,1,0.0030289999999695283,151.0
470.0,-1.0,0.0,-1.0,1,0.0017320000000040636,470.0
516.0,-1.0,0.0,-1.0,1,0.0018159999999625143,516.0
506.0,-1.0,0.0,-1.0,1,0.0017739999999548672,506.0
429.0,-1.0,0.0,-1.0,1,0.002912999999978183,429.0
375.0,-1.0,0.0,-1.0,1,0.1342019999999593,375.0
65.2,9.85900603509299,-1.0,8.68335774999997,5,34.73343099999988,326.0
136.42857142857142,0.5135525910130954,-1.0,2.443712999999998,14,31.768268999999975,1910.0
514.0,-1.0,0.0,-1.0,1,0.0022620000000301843,514.0
355.0,-1.0,0.0,-1.0,1,0.0584360000000288,355.0
498.0,-1.0,0.0,-1.0,1,0.0033040000000141845,498.0
100.0,-1.0,0.0,-1.0,1,0.002198000000078082,100.0
496.0,-1.0,0.0,-1.0,1,0.022555000000011205,496.0
375.0,-1.0,0.0,-1.0,1,0.05530400000000668,375.0
,-1.0,-1.0,-0.0,0,0.0,0.0
498.0,-1.0,0.0,-1.0,1,0.04509300000000849,498.0
462.0,-1.0,0.0,-1.0,1,0.03773400000000038,462.0
177.0,0.0,-1.0,31.934029124999995,17,510.9444659999999,3009.0
,-1.0,-1.0,-0.0,0,0.0,0.0
517.0,-1.0,0.0,-1.0,1,0.013198999999985972,517.0
312.0,-1.0,0.0,-1.0,1,0.0015859999999747743,312.0
,-1.0,-1.0,-0.0,0,0.0,0.0
474.0,-1.0,0.0,-1.0,1,0.0017540000000053624,474.0
506.0,-1.0,0.0,-1.0,1,0.0018770000000358777,506.0
512.0,-1.0,0.0,-1.0,1,0.02759299999996756,512.0
308.0,-1.0,-1.0,-1.0,1,1.0110090000000014,308.0
391.0,-1.0,0.0,-1.0,1,0.0019409999999311367,391.0
12.0,0.0,-1.0,3.46897692857142,15,48.56567699999988,180.0
,-1.0,-1.0,-0.0,0,0.0,0.0
,-1.0,-1.0,-0.0,0,0.0,0.0
124.0,-1.0,0.0,-1.0,1,0.0020240000000626424,124.0
468.0,-1.0,0.0,-1.0,1,0.0020759999999881984,468.0
408.0,-1.0,0.0,-1.0,1,0.004702999999949498,408.0
445.0,-1.0,0.0,-1.0,1,0.0024579999999900792,445.0
177.0,0.0,-1.0,31.933970937500003,17,510.94353500000005,3009.0
,-1.0,-1.0,-0.0,0,0.0,0.0
136.0,-1.0,-1.0,-1.0,1,0.24533600000000888,136.0
375.0,-1.0,0.0,-1.0,1,0.04886399999998048,375.0
338.0,-1.0,0.0,-1.0,1,0.0024979999999459324,338.0
375.0,-1.0,0.0,-1.0,1,0.0048219999999332686,375.0
226.0,-1.0,0.0,-1.0,1,0.06027900000003683,226.0
325.0,-1.0,0.0,-1.0,1,0.0016189999999483007,325.0
321.0,-1.0,0.0,-1.0,1,0.010367999999971289,321.0
496.0,-1.0,0.0,-1.0,1,0.012815999999986616,496.0
158.0,-1.0,0.0,-1.0,1,0.027797999999904732,158.0
354.0,-1.0,0.0,-1.0,1,0.0016279999999824213,354.0
,-1.0,-1.0,-0.0,0,0.0,0.0
358.0,-1.0,0.0,-1.0,1,0.03222799999991821,358.0
499.0,-1.0,0.0,-1.0,1,0.0025310000000331456,499.0
496.0,-1.0,0.0,-1.0,1,0.04300299999999879,496.0
104.33333333333333,53.10681061157159,0.5,0.0018294999999852735,3,0.003658999999970547,313.0
360.0,-1.0,0.0,-1.0,1,0.0023229999999969664,360.0
517.0,-1.0,0.0,-1.0,1,0.04293900000001827,517.0
517.0,-1.0,0.0,-1.0,1,0.003054999999960728,517.0
498.0,-1.0,0.0,-1.0,1,0.011179000000000272,498.0
,-1.0,-1.0,-0.0,0,0.0,0.0
326.0,-1.0,0.0,-1.0,1,0.002299999999991087,326.0
323.0,0.0,-1.0,13.363326333333342,4,40.08997900000003,1292.0
476.0,-1.0,0.0,-1.0,1,0.002479999999991378,476.0
516.0,-1.0,0.0,-1.0,1,0.0019330000000081782,516.0
375.0,-1.0,0.0,-1.0,1,0.07780499999999968,375.0
136.0,-1.0,-1.0,-1.0,1,0.24532599999997728,136.0
358.0,-1.0,0.0,-1.0,1,0.0018019999999978609,358.0
319.0,9.797958971132712,-1.0,8.550353600000028,6,42.75176800000014,1914.0
354.0,-1.0,0.0,-1.0,1,0.002156999999996856,354.0
333.0,-1.0,0.0,-1.0,1,0.0024119999999925312,333.0
,-1.0,-1.0,-0.0,0,0.0,0.0
354.0,-1.0,0.0,-1.0,1,0.0021930000000907057,354.0
198.0,-1.0,0.0,-1.0,1,0.002021000000013373,198.0
308.0,0.0,-1.0,165.00489849999997,3,330.00979699999993,924.0
136.42857142857142,0.5135525910130954,-1.0,2.4437112307692335,14,31.768246000000033,1910.0
339.0,-1.0,0.0,-1.0,1,0.05987599999997428,339.0
515.0,-1.0,0.0,-1.0,1,0.001867000000004282,515.0
460.0,-1.0,0.0,-1.0,1,0.1355180000000047,460.0
308.0,-1.0,-1.0,-1.0,1,270.00695699999994,308.0
516.0,-1.0,0.0,-1.0,1,0.003519000000039796,516.0
338.0,-1.0,0.0,-1.0,1,0.014737999999999474,338.0
358.0,-1.0,0.0,-1.0,1,0.1502200000000009,358.0
