avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,tot_pkt_len,fwd_pkt_len,bwd_pkt_len
183.0,0.0,-1.0,2.257075999999993,4,6.771227999999979,732.0,732,0.0
99.0,22.627416997969522,0.7217391304347827,0.016756999999984146,2,0.016756999999984146,198.0,83,115.0
182.0,0.0,-1.0,1.0006389999999972,4,3.0019169999999917,728.0,728,0.0
102.0909090909091,19.24294439764635,-1.0,12.318740899999998,11,123.18740899999997,1123.0,1123,0.0
182.0,0.0,-1.0,20.999708999999996,2,20.999708999999996,364.0,364,0.0
86.0,0.0,-1.0,107.07131533333335,4,321.213946,344.0,344,0.0
111.5,103.94469683442249,0.20540540540540542,0.027873999999997068,2,0.027873999999997068,223.0,38,185.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
182.0,0.0,-1.0,11.193888999999984,2,11.193888999999984,364.0,364,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
182.0,0.0,-1.0,1.001057666666668,4,3.003173000000004,728.0,728,0.0
127.0,117.37972567696688,0.20952380952380953,0.0006100000000515138,2,0.0006100000000515138,254.0,44,210.0
86.5,37.476659402887016,0.5309734513274337,0.09385499999996227,2,0.09385499999996227,173.0,60,113.0
259.0,0.0,-1.0,30.014883142857144,15,420.208364,3885.0,3885,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
209.0,-1.0,-1.0,-1.0,1,0.0,209.0,209,0.0
138.0,0.0,-1.0,6.454438499999981,3,12.908876999999961,414.0,414,0.0
152.0,0.0,-1.0,30.010745,14,390.139685,2128.0,2128,0.0
56.0,0.0,1.0,0.006710999999995693,2,0.006710999999995693,112.0,56,56.0
152.0,0.0,-1.0,30.01075046153846,14,390.139756,2128.0,2128,0.0
182.0,0.0,-1.0,1.0109396666666821,4,3.032819000000046,728.0,728,0.0
111.0,36.122015447646326,-1.0,25.065245600000004,6,125.32622800000001,666.0,666,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
209.0,-1.0,-1.0,-1.0,1,0.0,209.0,209,0.0
231.5,16.263455967290593,-1.0,2.0000000517939043e-06,2,2.0000000517939043e-06,463.0,463,0.0
28.0,0.0,-1.0,3.0012060633802817,143,426.171261,4004.0,4004,0.0
305.9,349.9388676770717,-1.0,40.30266533333334,10,362.723988,3059.0,3059,0.0
102.28571428571429,37.95046897257128,-1.0,45.661452000000004,7,273.96871200000004,716.0,716,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
152.0,0.0,-1.0,30.089119230769235,14,391.15855000000005,2128.0,2128,0.0
108.0,-1.0,-1.0,-1.0,1,0.0,108.0,108,0.0
182.0,0.0,-1.0,11.599216500000011,3,23.198433000000023,546.0,546,0.0
152.0,0.0,-1.0,30.08912069230769,14,391.158569,2128.0,2128,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
108.0,-1.0,-1.0,-1.0,1,0.0,108.0,108,0.0
259.0,0.0,-1.0,30.014860142857145,15,420.20804200000003,3885.0,3885,0.0
214.5,15.921683328090658,-1.0,7.076801999999998,6,35.38400999999999,1287.0,1287,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
187.0,-1.0,-1.0,-1.0,1,0.0,187.0,187,0.0
182.0,0.0,-1.0,1.000587000000003,4,3.001761000000009,728.0,728,0.0
209.0,-1.0,-1.0,-1.0,1,0.0,209.0,209,0.0
28.0,0.0,-1.0,3.001175633802817,143,426.16694,4004.0,4004,0.0
16.0,0.0,-1.0,15.000893642857141,29,420.025022,464.0,464,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
240.37362637362637,258.1420215631374,-1.0,4.261901222222222,91,383.57111,21874.0,21874,0.0
247.0,-1.0,-1.0,-1.0,1,0.0,247.0,247,0.0
385.84,268.79897693257686,-1.0,1.9077597500000003,25,45.78623400000001,9646.0,9646,0.0
74.875,4.5,-1.0,1.1163243333333392,16,16.74486500000009,1198.0,1198,0.0
182.0,0.0,-1.0,1.0167370000000016,4,3.0502110000000044,728.0,728,0.0
127.0,25.45584412271571,-1.0,1.0017640000000085,2,1.0017640000000085,254.0,254,0.0
182.0,0.0,-1.0,11.7334325,3,23.466865,546.0,546,0.0
131.0,14.0,-1.0,41.347771333333334,4,124.04331400000001,524.0,524,0.0
183.0,0.0,-1.0,3.242494999999991,3,6.484989999999982,549.0,549,0.0
58.0,-1.0,-1.0,-1.0,1,0.0,58.0,58,0.0
182.0,0.0,-1.0,1.0160686666666645,4,3.0482059999999933,728.0,728,0.0
187.0,-1.0,-1.0,-1.0,1,0.0,187.0,187,0.0
308.0,-1.0,-1.0,-1.0,1,0.0,308.0,308,0.0
182.0,0.0,-1.0,1.0008520000000185,4,3.0025560000000553,728.0,728,0.0
182.0,0.0,-1.0,1.0140860000000014,4,3.042258000000004,728.0,728,0.0
131.25,51.11017511220246,-1.0,93.33661333333333,4,280.00984,525.0,525,0.0
