avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,tot_pkt_len,fwd_pkt_len,bwd_pkt_len
182.0,0.0,-1.0,1.011254999999996,4,3.0337649999999883,728.0,728,0.0
168.0,181.01933598375618,0.13513513513513514,0.000956000000000401,2,0.000956000000000401,336.0,40,296.0
59.0,11.313708498984761,0.7611940298507462,0.2119730000000004,2,0.2119730000000004,118.0,51,67.0
60.0,11.313708498984761,0.7647058823529411,0.03231499999992593,2,0.03231499999992593,120.0,52,68.0
63.0,11.313708498984761,0.7746478873239436,0.017767999999932726,2,0.017767999999932726,126.0,55,71.0
58.0,0.0,-1.0,0.6440380000000042,7,3.8642280000000255,406.0,406,0.0
182.0,0.0,-1.0,20.99981200000002,2,20.99981200000002,364.0,364,0.0
30.0,0.0,-1.0,0.4102220000002035,2,0.4102220000002035,60.0,60,0.0
61.0,11.313708498984761,0.7681159420289855,0.0184300000003077,2,0.0184300000003077,122.0,53,69.0
60.0,11.313708498984761,0.7647058823529411,0.039857999999995286,2,0.039857999999995286,120.0,52,68.0
182.0,0.0,-1.0,1.0008873333333288,4,3.0026619999999866,728.0,728,0.0
50.0,11.313708498984761,0.7241379310344828,0.2667489999999981,2,0.2667489999999981,100.0,42,58.0
182.0,0.0,-1.0,1.0008113333333313,4,3.002433999999994,728.0,728,0.0
63.0,11.313708498984761,0.7746478873239436,0.019281999999634536,2,0.019281999999634536,126.0,55,71.0
180.0,104.65180361560904,0.41732283464566927,0.25709800000000627,2,0.25709800000000627,360.0,106,254.0
182.0,0.0,-1.0,11.011601499999998,3,22.023202999999995,546.0,546,0.0
63.0,11.313708498984761,0.7746478873239436,0.01773100000013983,2,0.01773100000013983,126.0,55,71.0
152.0,0.0,-1.0,30.010502045454544,45,1320.46209,6840.0,6840,0.0
16.0,0.0,1.0,1.2456059621125144,872,1084.922793,13952.0,6976,6976.0
152.0,0.0,-1.0,30.010503886363633,45,1320.462171,6840.0,6840,0.0
97.0,62.22539674441618,0.375886524822695,0.01660999999999646,2,0.01660999999999646,194.0,53,141.0
61.0,11.313708498984761,0.7681159420289855,0.003310999999996511,2,0.003310999999996511,122.0,53,69.0
182.0,0.0,-1.0,4.933086999999887,2,4.933086999999887,364.0,364,0.0
76.5,54.44722215136416,0.33043478260869563,0.42528299999999764,2,0.42528299999999764,153.0,38,115.0
231.5,13.279056191361393,-1.0,240.28863433333333,4,720.865903,926.0,926,0.0
30.0,0.0,-1.0,0.4102210000000923,2,0.4102210000000923,60.0,60,0.0
87.5,57.27564927611035,0.3671875,0.31757100000001515,2,0.31757100000001515,175.0,47,128.0
28.0,0.0,-1.0,3.001297246636771,447,1338.578572,12516.0,12516,0.0
182.0,0.0,-1.0,20.999779999999987,2,20.999779999999987,364.0,364,0.0
350.0,-1.0,-1.0,-1.0,1,0.0,350.0,350,0.0
117.5,99.7020561473032,0.25,0.025572999999999624,2,0.025572999999999624,235.0,47,188.0
53.0,11.313708498984761,0.7377049180327869,0.0008460000000001244,2,0.0008460000000001244,106.0,45,61.0
63.0,11.313708498984761,0.7746478873239436,0.039868999999981725,2,0.039868999999981725,126.0,55,71.0
100.0,22.627416997969522,0.7241379310344828,0.01786599999999794,2,0.01786599999999794,200.0,84,116.0
96.0,66.46803743153546,0.34265734265734266,0.4444039999999996,2,0.4444039999999996,192.0,49,143.0
152.0,0.0,-1.0,30.08838125,45,1323.8887750000001,6840.0,6840,0.0
182.0,0.0,-1.0,1.0168380000000024,4,3.050514000000007,728.0,728,0.0
128.5,96.87362902255701,0.30456852791878175,0.3000029999999967,2,0.3000029999999967,257.0,60,197.0
74.0,32.526911934581186,0.5257731958762887,0.12093299999999374,2,0.12093299999999374,148.0,51,97.0
181.0,171.1198410471445,0.1986754966887417,0.019371999999999723,2,0.019371999999999723,362.0,60,302.0
57.0,11.313708498984761,0.7538461538461538,0.21481100000001163,2,0.21481100000001163,114.0,49,65.0
182.0,0.0,-1.0,1.0088863333333318,4,3.026658999999995,728.0,728,0.0
28.0,0.0,-1.0,3.0012915784753362,447,1338.576044,12516.0,12516,0.0
247.0,0.0,-1.0,720.299541,2,720.299541,494.0,494,0.0
151.9558823529412,66.65223486607682,-1.0,18.89338311940299,68,1265.8566690000005,10333.0,10333,0.0
70.0,11.313708498984761,0.7948717948717948,0.0007350000003043533,2,0.0007350000003043533,140.0,62,78.0
60.0,11.313708498984761,0.7647058823529411,0.016747000000009393,2,0.016747000000009393,120.0,52,68.0
