avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,tot_pkt_len,fwd_pkt_len,bwd_pkt_len
324.09090909090907,33.58408714094979,-1.0,119.72659469999999,11,1197.2659469999999,3565.0,3565,0.0
51.0,11.313708498984761,0.7288135593220338,0.17739600000000166,2,0.17739600000000166,102.0,43,59.0
61.0,11.313708498984761,0.7681159420289855,0.010266999999998916,2,0.010266999999998916,122.0,53,69.0
104.5,9.192388155425117,0.8828828828828829,0.23283300000000007,2,0.23283300000000007,209.0,98,111.0
391.0,-1.0,-1.0,-1.0,1,0.0,391.0,391,0.0
38.0,14.142135623730951,1.7142857142857142,0.09204400000001556,2,0.09204400000001556,76.0,48,28.0
70.0,11.313708498984761,0.7948717948717948,0.010639999999966676,2,0.010639999999966676,140.0,62,78.0
38.0,14.142135623730951,1.7142857142857142,0.01653400000009242,2,0.01653400000009242,76.0,48,28.0
28.0,-1.0,-1.0,-1.0,1,0.0,28.0,28,0.0
443.1621621621622,22.051903539491125,-1.0,11.418864387755102,148,1678.573065,65588.0,65588,0.0
51.0,11.313708498984761,0.7288135593220338,0.01362100000017108,2,0.01362100000017108,102.0,43,59.0
106.0,0.0,-1.0,188.86907957142859,8,1322.0835570000002,848.0,848,0.0
30.0,5.656854249492381,0.7647058823529411,0.0004959999998845888,2,0.0004959999998845888,60.0,26,34.0
73.0,46.66904755831214,0.37735849056603776,0.010551999999961481,2,0.010551999999961481,146.0,40,106.0
407.0,-1.0,-1.0,-1.0,1,0.0,407.0,407,0.0
50.0,11.313708498984761,0.7241379310344828,0.009728999999879306,2,0.009728999999879306,100.0,42,58.0
56.5,38.890872965260115,0.34523809523809523,0.28288000000020475,2,0.28288000000020475,113.0,29,84.0
59.5,26.16295090390226,0.5256410256410257,0.015590000000088367,2,0.015590000000088367,119.0,41,78.0
73.0,46.66904755831214,0.37735849056603776,0.018050999999786654,2,0.018050999999786654,146.0,40,106.0
411.0,-1.0,-1.0,-1.0,1,0.0,411.0,411,0.0
65.0,28.284271247461902,0.5294117647058824,0.07644500000014887,2,0.07644500000014887,130.0,45,85.0
82.0,52.32590180780452,0.37815126050420167,0.015262000000006992,2,0.015262000000006992,164.0,45,119.0
349.0,-1.0,-1.0,-1.0,1,0.0,349.0,349,0.0
114.0,0.0,-1.0,3.02297200000001,3,6.04594400000002,342.0,342,0.0
91.0,45.254833995939045,0.4796747967479675,0.028516999999993686,2,0.028516999999993686,182.0,59,123.0
169.0,181.01933598375618,0.13804713804713806,0.04790600000001177,2,0.04790600000001177,338.0,41,297.0
69.0,22.627416997969522,0.6235294117647059,0.008390999999960513,2,0.008390999999960513,138.0,53,85.0
183.0,0.0,-1.0,46.88310040625,33,1500.259213,6039.0,6039,0.0
246.5,283.5498192558056,0.1029082774049217,0.014977999999814529,2,0.014977999999814529,493.0,46,447.0
65.0,28.284271247461902,0.5294117647058824,0.016288999999915177,2,0.016288999999915177,130.0,45,85.0
411.0,-1.0,-1.0,-1.0,1,0.0,411.0,411,0.0
83.0,35.35533905932738,0.5370370370370371,0.0022400000000288856,2,0.0022400000000288856,166.0,58,108.0
318.77777777777777,218.1913772910905,-1.0,90.54552211764705,18,1539.273876,5738.0,5738,0.0
66.0,38.18376618407357,0.41935483870967744,0.2243820000002188,2,0.2243820000002188,132.0,39,93.0
91.5,9.814954576223638,0.83,0.14121799999999998,4,0.423654,366.0,166,200.0
68.5,26.16295090390226,0.5747126436781609,0.09047000000009575,2,0.09047000000009575,137.0,50,87.0
65.0,28.284271247461902,0.5294117647058824,0.03692500000011023,2,0.03692500000011023,130.0,45,85.0
30.0,5.656854249492381,0.7647058823529411,0.00030199999997648774,2,0.00030199999997648774,60.0,26,34.0
104.0,0.0,-1.0,0.20119366666666672,4,0.6035810000000001,416.0,416,0.0
76.0,0.0,-1.0,317.07137149999994,3,634.1427429999999,228.0,228,0.0
271.64,447.23357181130984,-1.0,0.0077598979591853925,50,0.38023500000008426,13582.0,13582,0.0
27.5,6.557438524302,1.0754716981132075,0.0801806666666683,4,0.24054200000000492,110.0,57,53.0
88.25,68.41722492667083,5.086206896551724,202.43358199999997,4,607.3007459999999,353.0,295,58.0
411.0,-1.0,-1.0,-1.0,1,0.0,411.0,411,0.0
82.0,35.35533905932738,0.5327102803738317,0.0018000000000029104,2,0.0018000000000029104,164.0,57,107.0
322.2605352199323,447.59810418470744,-1.0,0.012820519999999998,3251,41.666689999999996,1047669.0,1047669,0.0
347.48060987736164,468.7640809965277,-1.0,0.012459939323607427,3017,37.579177,1048349.0,1048349,0.0
289.494059132357,415.7418076000859,-1.0,0.013033765339966839,3619,47.15616300000002,1047679.0,1047679,0.0
289.2540033130867,415.57942578043304,-1.0,0.013055814968240816,3622,47.275105999999994,1047678.0,1047678,0.0
313.90988023952093,430.99684625721267,-1.0,0.012720721473495043,3340,42.47448899999995,1048459.0,1048459,0.0
299.330002854696,432.8911506273396,-1.0,0.012912169046259277,3503,45.21841599999999,1048553.0,1048553,0.0
256.86820186183246,387.32259515881475,-1.0,0.013178412398921842,4082,53.781101000000035,1048536.0,1048536,0.0
281.8655190962883,404.97931631089716,-1.0,0.01311308259348936,3718,48.74132799999995,1047976.0,1047976,0.0
307.58837345860246,431.382178032552,-1.0,0.01287885873715126,3406,43.85251400000004,1047646.0,1047646,0.0
356.26571525654094,475.0301375857909,-1.0,0.012465908225696794,2943,36.67470199999997,1048490.0,1048490,0.0
312.2071535022355,439.4441924512872,-1.0,0.012986200357781759,3355,43.55571600000002,1047455.0,1047455,0.0
340.7752114508783,465.6335769075721,-1.0,0.012619043931011967,3074,38.778321999999775,1047543.0,1047543,0.0
312.6619928400955,448.4635117244443,-1.0,0.013243641301104194,3352,44.379442000000154,1048043.0,1048043,0.0
307.7469914881127,433.19061869760844,-1.0,0.01296320551967118,3407,44.15267800000004,1048494.0,1048494,0.0
314.1108780341624,441.91767865154975,-1.0,0.012828818345323727,3337,42.796937999999955,1048188.0,1048188,0.0
309.3850693419888,436.83305530461143,-1.0,0.012813441263282195,3389,43.411939000000075,1048506.0,1048506,0.0
262.00499750124936,390.9382518964006,-1.0,0.013360735316170998,4002,53.456302000000164,1048544.0,1048544,0.0
320.84879093970005,446.1611673982388,-1.0,0.012714722596448265,3267,41.52628400000003,1048213.0,1048213,0.0
328.3974318822424,458.11655547679567,-1.0,0.012779922305764399,3193,40.793511999999964,1048573.0,1048573,0.0
324.8086821705426,444.20081334874135,-1.0,0.012377475806451654,3225,39.90498200000013,1047508.0,1047508,0.0
270.766270661157,405.7523081140745,-1.0,0.01316298708344095,3872,50.95392299999992,1048407.0,1048407,0.0
335.9814042962488,459.18315478123304,-1.0,0.01253198107761388,3119,39.07471700000008,1047926.0,1047926,0.0
306.96894227951947,435.0439436603587,-1.0,0.012894576201641276,3413,43.996294000000034,1047685.0,1047685,0.0
364.0347342827371,480.4319180082235,-1.0,0.012504930507296737,2879,35.98919000000001,1048056.0,1048056,0.0
365.8565945568737,485.48207597641283,-1.0,0.012303606282722502,2866,35.24983199999997,1048545.0,1048545,0.0
357.1803614047051,477.1092058075474,-1.0,0.01244836289222378,2933,36.498600000000124,1047610.0,1047610,0.0
377.28844076341375,489.1206225611499,-1.0,0.012273110590778138,2777,34.07015500000011,1047730.0,1047730,0.0
256.5526186979931,375.8292908485525,-1.0,0.013232085189718468,4086,54.05306799999994,1048274.0,1048274,0.0
273.7051449464612,395.12428705755224,-1.0,0.013276021682340614,3829,50.82061099999987,1048017.0,1048017,0.0
299.73483981693363,426.9634042328221,-1.0,0.01309889699570817,3496,45.78064500000005,1047873.0,1047873,0.0
258.4686574531096,392.49937241819697,-1.0,0.013146277709207583,4052,53.25557099999992,1047315.0,1047315,0.0
376.98381877022655,501.6877200441621,-1.0,0.011144998920863325,2781,30.983097000000043,1048392.0,1048392,0.0
293.14177852348996,449.0956840804208,-1.0,0.010914955244755225,3576,39.02096499999993,1048275.0,1048275,0.0
297.8706283764572,448.8074021506672,-1.0,0.01084318657565402,3517,38.124643999999535,1047611.0,1047611,0.0
267.0827814569536,429.04690227954745,-1.0,0.011390294012738885,3926,44.70690400000012,1048567.0,1048567,0.0
284.6934564213956,440.22272920304766,-1.0,0.011047010320477925,3683,40.67509199999972,1048526.0,1048526,0.0
248.9683860232945,416.17751890951854,-1.0,0.011607262719923897,4207,48.820146999999906,1047410.0,1047410,0.0
296.2608818541549,442.37371645018766,-1.0,0.011018365281311742,3538,38.97195799999963,1048171.0,1048171,0.0
289.29040667361835,445.5961368604034,-1.0,0.010845902451747479,1918,20.791594999999916,554859.0,554859,0.0
73.0,46.66904755831214,0.37735849056603776,0.018891999999823383,2,0.018891999999823383,146.0,40,106.0
116.0,70.71067811865476,0.39759036144578314,0.16920900000002348,2,0.16920900000002348,232.0,66,166.0
35.0,9.899494936611665,1.5,0.014932999999984986,2,0.014932999999984986,70.0,42,28.0
37.0,12.727922061357855,1.6428571428571428,0.013755000000173823,2,0.013755000000173823,74.0,46,28.0
38.0,14.142135623730951,1.7142857142857142,0.08895200000017667,2,0.08895200000017667,76.0,48,28.0
37.0,12.727922061357855,1.6428571428571428,0.029736000000184504,2,0.029736000000184504,74.0,46,28.0
30.0,5.656854249492381,0.7647058823529411,0.0002870000000712025,2,0.0002870000000712025,60.0,26,34.0
391.0,-1.0,-1.0,-1.0,1,0.0,391.0,391,0.0
83.0,39.59797974644666,0.4954954954954955,0.016900000000077853,2,0.016900000000077853,166.0,55,111.0
30.0,4.216370213557839,0.7647058823529411,0.023012333333333065,10,0.2071109999999976,300.0,130,170.0
10.0,0.0,-1.0,899.245446,2,899.245446,20.0,20,0.0
202.13725490196077,165.6268117917921,-1.0,32.589845679999996,51,1629.492284,10309.0,10309,0.0
349.0,-1.0,-1.0,-1.0,1,0.0,349.0,349,0.0
59.5,26.16295090390226,0.5256410256410257,0.10827399999993759,2,0.10827399999993759,119.0,41,78.0
37.0,12.727922061357855,1.6428571428571428,0.019772999999986496,2,0.019772999999986496,74.0,46,28.0
