,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
224,420.6875,568.082083885998,1.1333333333333333,0.017477225806451026,32,0.5417939999999817,13462.0,1,game
221,303.08,501.474153538013,1.0833333333333333,0.003437249999999873,25,0.08249399999999696,7577.0,1,game
431,182.0,0.0,-1.0,1.5208839999999952,3,3.0417679999999905,546.0,0,game
236,63.85714285714285,65.66299240385388,1.625,54.0066628,21,1080.1332559999996,1341.0,1,game
32,856.6273381294963,665.6096276985327,0.6391509433962265,0.0008273458213256483,695,0.5741779999999999,595356.0,1,game
589,128.66666666666666,16.165807537309522,-1.0,62.02165700000001,3,124.043314,386.0,0,game
277,152.0,-1.0,0.0,-1.0,1,0.0578920000000096,152.0,0,game
219,119.82352941176471,205.55268038088118,1.4285714285714286,1.9239162500000004,17,30.78266000000001,2037.0,1,game
178,876.507722007722,655.7879715095563,0.5602409638554217,0.0008223346228239827,518,0.4251469999999991,454031.0,1,game
180,304.5833333333333,450.53860681620176,1.181818181818182,1.3482174347826086,24,31.009001,7310.0,1,game
581,28.0,0.0,-1.0,3.0224605673758864,142,426.16694,3976.0,0,game
116,255.475,352.73022941561135,1.2222222222222223,0.7964237179487182,40,31.06052500000001,10219.0,1,game
7,1351.7377049180327,221.0611074402154,-1.0,0.0014058024691357995,244,0.3416099999999993,329824.0,1,game
428,30.0,-1.0,-1.0,-1.0,1,0.4102189999999837,30.0,0,game
88,30.0,14.142135623730953,1.0,0.22524700000008124,2,0.22524700000008124,60.0,1,game
399,30.0,-1.0,-1.0,-1.0,1,0.4102220000000898,30.0,0,game
94,1340.3863636363635,251.23993602322327,-1.0,0.0024505971978984265,572,1.3992910000000016,766701.0,1,game
204,44.0,0.0,-1.0,1.4018584000000032,6,7.009292000000016,264.0,1,game
28,340.1351351351352,424.0123270064838,1.4666666666666666,0.8621842222222225,37,31.03863200000001,12585.0,1,game
376,381.33333333333326,68.80649194177343,-1.0,0.00025649999986399047,3,0.0005129999997279808,1144.0,0,game
458,56.0,-1.0,0.0,-1.0,1,0.0006520000000023174,56.0,0,game
253,44.0,0.0,-1.0,1.8351118333333336,7,11.010671000000002,308.0,1,game
315,182.0,0.0,-1.0,1.5007114999999942,3,3.0014229999999884,546.0,0,game
489,39.105845181674574,18.776477654367827,-1.0,0.027344884955752186,3165,86.5192159999999,123770.0,0,game
478,249.0904988123516,235.64454534531131,-1.0,0.03498265051081015,4210,147.2419759999999,1048671.0,0,game
332,71.0,-1.0,0.0,-1.0,1,0.017767999999932726,71.0,0,game
546,182.0,-1.0,-1.0,-1.0,1,20.99970900000005,182.0,0,game
317,116.0,-1.0,0.0,-1.0,1,0.017865999999990834,116.0,0,game
233,1245.7407407407404,392.04234392498887,-1.0,0.002525846153846263,27,0.06567200000000284,33635.0,1,game
403,296.0,-1.0,0.0,-1.0,1,0.017863000000033942,296.0,0,game
450,67.0,-1.0,0.0,-1.0,1,0.2119729999999933,67.0,0,game
129,336.67391304347825,492.37885388061926,1.0,0.7112761333333334,46,32.007426,15487.0,1,game
545,185.0,-1.0,0.0,-1.0,1,0.027873999999940224,185.0,0,game
327,209.0,-1.0,-1.0,-1.0,1,721.3434159999997,209.0,0,game
370,109.0,-1.0,-1.0,-1.0,1,1.0019489999999678,109.0,0,game
459,51.0,-1.0,0.0,-1.0,1,0.0030020000000021696,51.0,0,game
485,120.56725684065304,185.15726114585945,1.4837235865219867,0.01440355766356214,8698,125.26774099999994,1048694.0,0,game
362,68.0,-1.0,0.0,-1.0,1,0.01653799999999972,68.0,0,game
26,44.0,0.0,-1.0,1.4009888000000046,6,7.004944000000022,264.0,1,game
303,30.0,-1.0,-1.0,-1.0,1,0.41001599999992777,30.0,0,game
420,68.0,-1.0,0.0,-1.0,1,0.017530000000078868,68.0,0,game
183,858.8812154696132,660.1725704265441,0.604135893648449,0.0009916589861751171,1086,1.0759500000000024,932745.0,1,game
184,867.0951932139491,662.095117564907,0.6075757575757575,0.0011605141509433965,1061,1.2301450000000005,919988.0,1,game
453,30.0,-1.0,-1.0,-1.0,1,0.410445999999979,30.0,0,game
331,30.0,-1.0,-1.0,-1.0,1,0.40989600000000337,30.0,0,game
326,94.0,-1.0,0.0,-1.0,1,0.01827800000000224,94.0,0,game
313,182.0,0.0,-1.0,1.5133294999999976,3,3.026658999999995,546.0,0,game
234,292.78125,432.1891561965329,1.1333333333333333,0.7165384516129033,32,22.212692000000004,9369.0,1,game
92,44.0,0.0,-1.0,1.8356483333333244,7,11.013889999999947,308.0,1,game
511,32.0,0.0,1.0,0.0007736666666649702,4,0.0023209999999949105,128.0,1,game
295,182.0,0.0,-1.0,1.5012000000000398,3,3.0024000000000797,546.0,0,game
330,84.0,-1.0,0.0,-1.0,1,0.04119699999999682,84.0,0,game
509,171.2,363.673044551467,1.0833333333333333,0.00460449999999805,25,0.1105079999999532,4280.0,1,game
57,379.77142857142854,547.4829079101754,1.1875,0.017926676470588255,35,0.6095070000000007,13292.0,1,game
43,886.750452079566,652.4431392327307,0.5533707865168539,0.0010043786231884071,553,0.5544170000000008,490373.0,1,game
23,58.5,37.476659402887016,1.0,0.016725999999948726,2,0.016725999999948726,117.0,1,game
280,247.0,-1.0,-1.0,-1.0,1,720.299541,247.0,0,game
378,71.0,-1.0,0.0,-1.0,1,0.018168000000059692,71.0,0,game
252,35.166666666666664,14.455679391390314,0.5,0.0005003999999985354,6,0.0025019999999926767,211.0,1,game
389,272.6482973745776,76.25308045804842,-1.0,0.06227580083203326,3847,239.51272999999992,1048878.0,0,game
223,216.1818181818182,393.8665034130505,1.4444444444444444,0.009533142857142605,22,0.2001959999999947,4756.0,1,game
380,182.0,-1.0,-1.0,-1.0,1,4.933087000000113,182.0,0,game
49,30.0,14.142135623730953,1.0,0.21165000000000056,2,0.21165000000000056,60.0,1,game
410,156.0,-1.0,0.0,-1.0,1,0.2889369999999189,156.0,0,game
104,683.5490196078431,674.7041222261945,0.7586206896551724,0.6043335999999999,51,30.21668,34861.0,1,game
90,32.475,5.3011246992428935,-1.0,0.008901102564102358,40,0.34714299999999204,1299.0,1,game
191,93.44444444444444,142.95900733349325,1.25,0.018297999999999703,9,0.14638399999999765,841.0,1,game
259,32.833333333333336,20.43934115050352,1.0,2.612058,6,13.060289999999998,197.0,1,game
366,65.0,-1.0,0.0,-1.0,1,0.21481100000000453,65.0,0,game
540,115.0,-1.0,0.0,-1.0,1,0.016756999999984146,115.0,0,game
1,845.2998885172798,669.8868310690392,0.6766355140186916,0.034676546875,897,31.070186,758234.0,1,game
524,328.1379310344828,497.6937328559985,1.2307692307692308,1.1093312142857112,29,31.06127399999991,9516.0,1,game
384,30.0,-1.0,-1.0,-1.0,1,0.4102829999999358,30.0,0,game
427,128.0,-1.0,0.0,-1.0,1,0.31757100000001515,128.0,0,game
468,137.1875,43.23612494199729,-1.0,83.84337273333334,16,1257.650591,2195.0,0,game
201,282.92307692307685,384.05013184575137,1.1666666666666667,1.041575294117647,52,53.12034,14712.0,1,game
374,182.0,0.0,-1.0,1.5012790000000038,3,3.0025580000000085,546.0,0,game
423,184.0,-1.0,0.0,-1.0,1,0.039792000000034015,184.0,0,game
245,32.0,0.0,2.0,0.0015640000000018972,3,0.0031280000000037944,96.0,1,game
55,151.28947368421052,301.3841858057081,1.375,0.0161747027027027,38,0.5984639999999999,5749.0,1,game
390,274.1858267716535,86.67254092149788,-1.0,0.06070752324665095,1270,77.03784700000007,348216.0,0,game
418,152.0,0.0,-1.0,30.708420697674427,44,1320.46209,6688.0,0,game
194,292.07692307692315,465.4885539367794,1.1666666666666667,0.04464132000000063,26,1.1160330000000158,7594.0,1,game
143,32.478947368421046,4.823561983519593,-1.0,0.002384370370370365,190,0.4506459999999989,6171.0,1,game
312,104.0,-1.0,0.0,-1.0,1,0.0007529999999178473,104.0,0,game
592,182.0,0.0,-1.0,1.5241029999999969,3,3.0482059999999933,546.0,0,game
268,58.0,0.0,-1.0,409.69022366666667,4,1229.0706710000004,232.0,0,game
270,128.0,-1.0,0.0,-1.0,1,0.002971999999772379,128.0,0,game
538,20.0,-1.0,0.0,-1.0,1,0.001059999999995398,20.0,1,game
600,16.0,0.0,-1.0,15.556482296296293,28,420.025022,448.0,0,game
202,32.0,0.0,1.0,0.0011103333333342864,4,0.0033310000000028595,128.0,1,game
325,202.0,-1.0,0.0,-1.0,1,0.2728119999999983,202.0,0,game
522,20.0,-1.0,0.0,-1.0,1,0.0008789999999976318,20.0,1,game
196,32.0,0.0,1.0,0.0008883333333358223,4,0.0026650000000074674,128.0,1,game
148,251.67741935483872,431.0236178445272,1.3846153846153846,0.025623566666666875,31,0.7687070000000062,7802.0,1,game
130,870.9232613908873,659.3795922571072,0.5795454545454546,0.00279420288115246,834,2.327570999999999,726350.0,1,game
286,133.0,-1.0,0.0,-1.0,1,0.02628499999999878,133.0,0,game
591,182.0,0.0,-1.0,23.466865,2,23.466865,364.0,0,game
137,20.0,-1.0,0.0,-1.0,1,0.000921000000062122,20.0,1,game
62,162.4576271186441,325.479027452636,1.1851851851851851,0.0775617758620689,59,4.4985829999999964,9585.0,1,game
556,210.0,-1.0,0.0,-1.0,1,0.0006100000000515138,210.0,0,game
328,30.0,-1.0,-1.0,-1.0,1,0.4100799999998799,30.0,0,game
73,875.7792056074768,659.7732317051745,0.5851851851851851,0.0008120795321637452,856,0.6943280000000023,749667.0,1,game
63,1372.227424749164,132.5374524137955,-1.0,0.0019170201342281774,299,0.5712719999999969,410296.0,1,game
251,30.0,14.142135623730953,1.0,0.2192679999999428,2,0.2192679999999428,60.0,1,game
33,91.84210526315788,76.34735181167039,1.375,0.012562055555555477,19,0.2261169999999985,1745.0,1,game
396,68.0,-1.0,0.0,-1.0,1,0.032314999999812244,68.0,0,game
166,276.53846153846155,472.35514018748484,1.1666666666666667,0.0027026399999999736,26,0.06756599999999935,7190.0,1,game
85,399.4,546.2302466478227,1.0588235294117647,0.019936941176470543,35,0.6778559999999985,13979.0,1,game
87,30.0,14.142135623730953,1.0,0.27051800000003823,2,0.27051800000003823,60.0,1,game
163,20.0,-1.0,0.0,-1.0,1,0.0010070000000155233,20.0,1,game
154,139.4,258.85354074371,1.0,0.0013864444444443198,10,0.012477999999998879,1394.0,1,game
447,259.0,0.0,-1.0,30.728724547619052,43,1290.6064310000004,11137.0,0,game
426,286.0,-1.0,0.0,-1.0,1,0.01818600000000004,286.0,0,game
472,30.0,-1.0,-1.0,-1.0,1,0.4100219999999126,30.0,0,game
68,874.0976909413854,658.1417164329043,0.5770308123249299,0.0010059697508896805,563,0.5653550000000003,492117.0,1,game
100,429.283950617284,540.2446934576409,1.103896103896104,0.03396391304347826,162,5.46819,69544.0,1,game
