,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
768,170.78571428571428,384.5393205005036,1.0,0.06045169230768666,14,0.7858719999999266,2391.0,1,voip
1562,170.78571428571428,384.5393205005036,1.0,0.08046330769231137,14,1.0460230000000479,2391.0,1,voip
900,170.78571428571428,384.5393205005036,1.0,0.021571538461540304,14,0.28043000000002394,2391.0,1,voip
1652,170.78571428571428,384.5393205005036,1.0,0.01935999999999729,14,0.2516799999999648,2391.0,1,voip
1395,181.4615384615384,398.07591725377694,1.1666666666666667,0.0685260833333435,13,0.8223130000001221,2359.0,1,voip
2655,170.78571428571428,384.5393205005036,1.0,0.016130615384615618,14,0.20969800000000305,2391.0,1,voip
254,170.78571428571428,384.5393205005036,1.0,0.07756115384615196,14,1.0082949999999755,2391.0,1,voip
51,170.78571428571428,384.5393205005036,1.0,0.06536915384612467,14,0.8497989999996207,2391.0,1,voip
328,400.157894736842,595.732533493,0.9,0.016134611111112918,19,0.2904230000000325,7603.0,1,voip
3112,183.0,-1.0,0.0,-1.0,1,0.016024999999999956,183.0,0,voip
660,170.78571428571428,384.5393205005036,1.0,0.0655899230768962,14,0.8526689999996506,2391.0,1,voip
2491,400.157894736842,595.732533493,0.9,0.015585277777777013,19,0.2805349999999862,7603.0,1,voip
2042,170.78571428571428,384.5393205005036,1.0,0.01636061538461429,14,0.21268799999998572,2391.0,1,voip
499,170.78571428571428,384.5393205005036,1.0,0.022326153846148163,14,0.2902399999999261,2391.0,1,voip
1515,170.78571428571428,384.5393205005036,1.0,0.019450692307688,14,0.252858999999944,2391.0,1,voip
1798,34.0,-1.0,0.0,-1.0,1,0.0003020000000333312,34.0,0,voip
80,170.78571428571428,384.5393205005036,1.0,0.016659846153839468,14,0.21657799999991312,2391.0,1,voip
850,170.78571428571428,384.5393205005036,1.0,0.019206384615384958,14,0.2496830000000045,2391.0,1,voip
110,400.157894736842,595.732533493,0.9,0.015274999999999438,19,0.2749499999999898,7603.0,1,voip
1345,148.77826086956526,245.24022347676984,1.3232323232323229,5.242353462882097,230,1200.498943,34219.0,1,voip
24,170.78571428571428,384.5393205005036,1.0,0.01843015384614633,14,0.2395919999999024,2391.0,1,voip
1480,170.78571428571428,384.5393205005036,1.0,0.059230769230767824,14,0.7699999999999818,2391.0,1,voip
631,777.9659090909091,718.0644073321872,0.660377358490566,0.6937530689655166,88,60.35651699999993,68461.0,1,voip
577,170.78571428571428,384.5393205005036,1.0,0.017445230769226328,14,0.22678799999994226,2391.0,1,voip
1979,256.93333333333334,406.57271761966973,1.5,2.1054976206896554,30,61.059431000000004,7708.0,1,voip
770,170.78571428571428,384.5393205005036,1.0,0.01919423076923065,14,0.24952499999999844,2391.0,1,voip
2367,170.78571428571428,384.5393205005036,1.0,0.013702538461538656,14,0.17813300000000254,2391.0,1,voip
265,382.35,593.8171147663846,1.0,0.08324768421052316,20,1.58170599999994,7647.0,1,voip
1442,400.157894736842,595.732533493,0.9,0.018469833333333616,19,0.3324570000000051,7603.0,1,voip
1799,94.33333333333331,9.814954576223636,0.5,0.211827,3,0.423654,283.0,0,voip
874,181.4615384615384,398.07591725377694,1.1666666666666667,0.09495024999999896,13,1.1394029999999873,2359.0,1,voip
1821,433.3103305785123,529.9098256225614,-1.0,0.008862937990905333,2420,21.439447,1048611.0,0,voip
2070,170.78571428571428,384.5393205005036,1.0,0.013584076923076685,14,0.1765929999999969,2391.0,1,voip
2807,746.9686609686612,382.2453345820618,-1.0,0.003830930149679304,1404,5.374795000000063,1048744.0,0,voip
2834,622.8509501187649,395.2430989929272,-1.0,0.0038763113487819533,1684,6.523832000000027,1048881.0,0,voip
373,170.78571428571428,384.5393205005036,1.0,0.022017769230772567,14,0.2862310000000434,2391.0,1,voip
320,400.157894736842,595.732533493,0.9,0.017371333333332788,19,0.3126839999999902,7603.0,1,voip
1604,170.78571428571428,384.5393205005036,1.0,0.01924984615386795,14,0.2502480000002833,2391.0,1,voip
222,170.78571428571428,384.5393205005036,1.0,0.060005923076914776,14,0.7800769999998921,2391.0,1,voip
2257,44.0,0.0,-1.0,4.395946000000002,9,35.16756800000002,396.0,1,voip
2495,170.78571428571428,384.5393205005036,1.0,0.013798923076924787,14,0.17938600000002225,2391.0,1,voip
2633,170.78571428571428,384.5393205005036,1.0,0.013933615384615905,14,0.1811370000000068,2391.0,1,voip
2460,773.3693693693692,718.1882372638418,0.7903225806451613,0.2804292363636364,111,30.847216000000003,85844.0,1,voip
2843,630.057057057057,401.27739810274977,-1.0,0.0037617674278845967,1665,6.259580999999969,1049045.0,0,voip
758,170.78571428571428,384.5393205005036,1.0,0.02128946153844971,14,0.2767629999998462,2391.0,1,voip
1467,170.78571428571428,384.5393205005036,1.0,0.01878653846154066,14,0.24422500000002856,2391.0,1,voip
1115,170.78571428571428,384.5393205005036,1.0,0.01406469230769202,14,0.18284099999999626,2391.0,1,voip
2856,663.0170562223626,397.7074445697122,-1.0,0.0042002989886219715,1583,6.6448729999999605,1049556.0,0,voip
1211,170.78571428571428,384.5393205005036,1.0,0.01967330769230977,14,0.255753000000027,2391.0,1,voip
2107,170.78571428571428,384.5393205005036,1.0,0.02112123076921517,14,0.2745759999997972,2391.0,1,voip
1667,170.78571428571428,384.5393205005036,1.0,0.01861538461538605,14,0.24200000000001864,2391.0,1,voip
2269,170.78571428571428,384.5393205005036,1.0,0.013764153846151518,14,0.17893399999996973,2391.0,1,voip
2061,400.157894736842,595.732533493,0.9,0.01821238888888704,19,0.3278229999999667,7603.0,1,voip
817,170.78571428571428,384.5393205005036,1.0,0.04113238461538389,14,0.5347209999999905,2391.0,1,voip
1232,170.78571428571428,384.5393205005036,1.0,0.021979999999998133,14,0.2857399999999757,2391.0,1,voip
