avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count
498.0,-1.0,0.0,-1.0,1
375.0,-1.0,0.0,-1.0,1
177.0,0.0,-1.0,31.934029124999995,17
177.0,0.0,-1.0,31.933970937500003,17
338.0,-1.0,0.0,-1.0,1
360.0,-1.0,0.0,-1.0,1
358.0,-1.0,0.0,-1.0,1
359.0,-1.0,0.0,-1.0,1
361.0,-1.0,0.0,-1.0,1
308.0,0.0,-1.0,165.00489849999997,3
354.0,-1.0,0.0,-1.0,1
460.0,-1.0,0.0,-1.0,1
498.0,-1.0,0.0,-1.0,1
375.0,-1.0,0.0,-1.0,1
308.0,-1.0,-1.0,-1.0,1
308.0,0.0,-1.0,41.37849725,9
517.0,-1.0,0.0,-1.0,1
498.0,-1.0,0.0,-1.0,1
512.0,-1.0,0.0,-1.0,1
375.0,-1.0,0.0,-1.0,1
474.0,-1.0,0.0,-1.0,1
470.0,-1.0,0.0,-1.0,1
354.0,-1.0,0.0,-1.0,1
375.0,-1.0,0.0,-1.0,1
506.0,-1.0,0.0,-1.0,1
499.0,-1.0,0.0,-1.0,1
35.375,29.716157221282835,-1.0,3.4248701999999906,16
136.0,-1.0,-1.0,-1.0,1
136.0,-1.0,-1.0,-1.0,1
333.0,-1.0,0.0,-1.0,1
375.0,-1.0,0.0,-1.0,1
308.0,-1.0,-1.0,-1.0,1
319.0,9.797958971132712,-1.0,8.550353600000028,6
136.42857142857142,0.5135525910130954,-1.0,2.443712999999998,14
136.42857142857142,0.5135525910130954,-1.0,2.4437112307692335,14
124.0,-1.0,0.0,-1.0,1
100.0,-1.0,0.0,-1.0,1
496.0,-1.0,0.0,-1.0,1
391.0,-1.0,0.0,-1.0,1
198.0,-1.0,0.0,-1.0,1
104.33333333333333,53.10681061157159,0.5,0.0018294999999852735,3
462.0,-1.0,0.0,-1.0,1
323.0,0.0,-1.0,13.363326333333342,4
506.0,-1.0,0.0,-1.0,1
468.0,-1.0,0.0,-1.0,1
246.0,-1.0,0.0,-1.0,1
326.0,-1.0,0.0,-1.0,1
516.0,-1.0,0.0,-1.0,1
476.0,-1.0,0.0,-1.0,1
514.0,-1.0,0.0,-1.0,1
429.0,-1.0,0.0,-1.0,1
354.0,-1.0,0.0,-1.0,1
517.0,-1.0,0.0,-1.0,1
517.0,-1.0,0.0,-1.0,1
158.0,-1.0,0.0,-1.0,1
358.0,-1.0,0.0,-1.0,1
325.0,-1.0,0.0,-1.0,1
338.0,-1.0,0.0,-1.0,1
516.0,-1.0,0.0,-1.0,1
516.0,-1.0,0.0,-1.0,1
12.0,0.0,-1.0,3.46897692857142,15
515.0,-1.0,0.0,-1.0,1
339.0,-1.0,0.0,-1.0,1
355.0,-1.0,0.0,-1.0,1
226.0,-1.0,0.0,-1.0,1
498.0,-1.0,0.0,-1.0,1
65.2,9.85900603509299,-1.0,8.68335774999997,5
445.0,-1.0,0.0,-1.0,1
496.0,-1.0,0.0,-1.0,1
496.0,-1.0,0.0,-1.0,1
321.0,-1.0,0.0,-1.0,1
408.0,-1.0,0.0,-1.0,1
358.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
312.0,-1.0,0.0,-1.0,1
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
,-1.0,-1.0,-0.0,0
151.0,-1.0,0.0,-1.0,1
