,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
1348,850.7656123276561,345.4871669365258,-1.0,0.0028621379870130037,1233,3.5261540000000204,1048994.0,0,voip
3575,170.78571428571428,384.5393205005036,1.0,0.019310923076921845,14,0.251041999999984,2391.0,1,voip
889,170.78571428571428,384.5393205005036,1.0,0.02192630769230584,14,0.2850419999999758,2391.0,1,voip
2104,192.32352941176467,350.3381674194265,1.125,0.19491881818181825,34,6.432321000000003,6539.0,1,streaming
2206,837.1805555555555,667.0895573498752,0.6684491978609626,0.0011840620320855582,936,1.107097999999997,783601.0,1,game
1537,1320.0,0.0,-1.0,8.513350125943912e-05,795,0.06759599999999466,1049400.0,1,download
2663,51.0,-1.0,0.0,-1.0,1,0.0030020000000021696,51.0,0,game
175,107.29166666666669,199.12864078205868,1.181818181818182,0.24418795652173764,24,5.616322999999966,2575.0,1,streaming
2540,68.0,-1.0,0.0,-1.0,1,0.016523000000006505,68.0,0,game
226,170.78571428571428,384.5393205005036,1.0,0.0194593846153846,14,0.2529719999999997,2391.0,1,voip
1195,831.5324881141046,344.9038185735318,-1.0,0.002885210943695477,1262,3.638250999999997,1049394.0,0,voip
535,166.65384615384616,359.0777010406179,1.1666666666666667,0.0070183999999994745,26,0.17545999999998685,4333.0,1,voip
4815,1450.0,0.0,-1.0,0.0001913222683264167,724,0.13832599999999928,1049800.0,1,download
1514,1320.0,0.0,-1.0,8.633627204030147e-05,795,0.06855099999999936,1049400.0,1,download
991,104.0,0.0,-1.0,0.4198686666666636,4,1.259605999999991,416.0,0,voip
2275,50.444444444444436,76.98374329705034,-1.0,1.8138950588235283,18,30.836215999999986,908.0,1,game
3616,170.04,398.59257393985655,1.0833333333333333,0.2206407083333334,25,5.295377000000002,4251.0,1,voip
3702,400.157894736842,595.732533493,0.9,0.01795216666666653,19,0.3231389999999976,7603.0,1,voip
891,32.0,0.0,1.0,0.009941999999998785,2,0.009941999999998785,64.0,1,voip
4049,189.9,360.82203985405937,1.0,0.09294399999997596,10,0.8364959999997836,1899.0,1,voip
1490,1320.0,0.0,-1.0,8.177581863981239e-05,795,0.06493000000001102,1049400.0,1,download
